featureid	CR0118-D02	CR0119-D03	CR097-A1	CR098-A2	CR099-A3	CR1-A1	CR10-A10	CR100-A4	CR101-A5	CR102-A6	CR103-A7	CR104-A8	CR105-A9	CR106-A10	CR107-A11	CR108-A12	CR109-B1	CR11-A11	CR110-B2	CR111-B3	CR112-B4	CR113-B5	CR115-B7	CR116-B8	CR117-D01	CR12-A12	CR120-D04	CR121-D05	CR122-D06	CR123-D07	CR124-D08	CR125-D09	CR126-D10	CR127-D11	CR128-D12	CR129-E01	CR13-B1	CR130-E02	CR131-E03	CR132-E04	CR133-E05	CR134-E06	CR135-E07	CR136-E08	CR137-E09	CR138-E10	CR139-E11	CR14-B2	CR140-E12	CR141-F01	CR142-F02	CR15-B3	CR16-B4	CR17-B5	CR18-B6	CR19-B7	CR2-A2	CR20-B8	CR21-B9	CR22-B10	CR23-B11	CR24-B12	CR25-C1	CR26-C2	CR27-C3	CR28-C4	CR29-C5	CR3-A3	CR30-C6	CR31-C7	CR32-C8	CR33-C9	CR34-C10	CR35-C11	CR36-C12	CR37-D1	CR38-D2	CR39-D3	CR4-A4	CR40-D4	CR41-D5	CR42-D6	CR43-D7	CR44-D8	CR45-D9	CR46-D10	CR47-D11	CR48-D12	CR49-E1	CR5-A5	CR50-E2	CR51-E3	CR52-E4	CR53-E5	CR54-E6	CR55-E7	CR56-E8	CR57-E9	CR58-E10	CR59-E11	CR6-A6	CR60-E12	CR61-F1	CR62-F2	CR63-F3	CR64-F4	CR65-F5	CR66-F6	CR67-F7	CR68-F8	CR69-F9	CR7-A7	CR70-F10	CR71-F11	CR72-F12	CR73-G1	CR74-G2	CR75-G3	CR76-G4	CR78-G6	CR8-A8	CR80-G8	CR81-G9	CR82-G10	CR83-G11	CR84-G12	CR85-H1	CR86-H2	CR87-H3	CR88-H4	CR89-H5	CR9-A9	CR90-H6	CR91-H7	CR92-H8	CR93-H9	CR94-H10	CR95-H11	CR96-H12	Fe-BAL-1	Fe-BAL-10	Fe-BAL-11	Fe-BAL-2	Fe-BAL-3	Fe-BAL-4	Fe-BAL-5	Fe-BAL-6	Fe-BAL-7	Fe-BAL-8	Fe-BAL-9	Fe-BAL-Annie	Fe-BAL-Fluffy	Taxon
9b1de8cc0a0295a38a60f906653fea94	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	754	2296	4	8	0	0	0	0	2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18776	0	0	137	0	0	3633	0	0	634	3190	3	0	0	0	0	4824	0	0	0	0	3	0	0	0	0	14	0	0	4894	0	0	0	7271	0	0	63	0	0	0	0	0	13	3737	0	0	0	0	0	0	0	0	0	0	0	0	10966	0	0	44253	0	0	14607	0	0	0	0	0	0	23682	0	0	0	0	0	0	0	0	0	0	15549	0	0	17761	0	0	0	23927	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae;D_5__Gallibacterium
0abb33db2ffa9810c0e21286bb246dd8	0	51	34	2338	7270	467	6882	2884	3783	3188	3664	8946	10232	14958	334	0	0	42	0	0	9	0	0	0	0	0	0	4486	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2623	0	0	5949	0	0	0	5712	0	0	2460	0	0	6796	0	0	0	4204	0	0	6316	0	0	2328	0	0	4527	4727	0	0	12729	0	0	5824	0	0	9315	0	0	0	3154	0	0	2703	0	0	437	35	0	0	5740	0	0	0	63	0	8174	0	0	195	4149	0	0	926	0	0	1934	0	0	0	0	5718	0	0	3697	34	0	617	0	0	0	12781	0	0	5770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae;D_5__Frederiksenia;D_6__uncultured bacterium
d900eb33f6b4bc449aab64df16ae18b2	0	0	0	0	0	0	9	7	0	0	0	3	0	0	0	423	354	1243	686	3921	3191	946	1222	3041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5238	0	0	0	0	0	1837	0	0	1953	4344	0	5	1629	68	7	1143	0	11	0	0	0	11	211	0	17	1674	5	3	19660	0	0	9	520	24	10	2111	0	7	27747	0	0	5405	5440	0	0	14264	0	0	3199	0	6	5519	5	0	7	9509	0	0	5714	0	8	1516	0	0	7	2068	0	0	5496	0	0	0	295	841	0	16	15811	0	0	1497	0	0	5374	0	0	0	1879	0	0	10892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides
df9f4aad85aa6c5b3549d8c2cb552056	0	0	1425	4719	526	246	8926	1930	3096	1049	1398	3471	5842	1361	3303	0	0	0	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	2214	0	0	9593	0	0	0	849	0	0	991	0	0	0	0	0	0	2363	0	0	7398	0	0	517	0	0	3340	6268	0	0	6661	0	0	2799	0	0	9695	0	0	0	5965	0	0	3840	0	0	3865	0	0	0	1108	0	0	0	0	0	8875	0	7	0	12956	0	0	1071	0	0	3168	0	0	0	0	4078	0	0	129	0	0	384	0	0	0	11232	0	0	19348	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae
7af6fc12809fdafab918881f836460f8	0	0	0	7	0	0	0	7	0	0	0	7	0	0	0	998	3740	108	6233	19	15	2637	6	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7376	0	0	0	0	0	2341	0	0	535	333	0	0	3810	188	0	10376	3	34	0	0	0	13	273	0	13	13	8	0	7382	0	0	15	225	32	9	5908	0	26	15403	0	0	5195	1267	0	10	10282	0	0	27829	0	0	3676	0	0	0	5702	0	0	566	0	0	17	0	0	0	10827	0	0	3167	0	0	0	128	153	0	49	51	0	0	16	0	0	0	0	0	0	350	0	0	376	0	0	0	0	0	0	0	3	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 4
dd9d5b4182c8f49dd65269b27f6fbc37	0	0	692	6299	1332	169	6509	7409	3053	1595	4286	2855	7670	732	32962	6	5	16	0	6	7	0	10	5	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1467	12	0	9808	0	0	0	898	8	0	418	0	0	33	0	0	0	1693	0	0	1076	0	0	510	0	0	2027	4887	0	0	3779	0	0	2142	0	0	4381	0	0	0	2647	0	0	3647	0	0	425	0	0	0	247	0	0	0	14	0	1751	0	4	7	1707	0	0	975	0	0	1810	0	0	8	0	4129	9	0	37	15	0	109	0	12	0	2578	0	0	552	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Moraxella;Ambiguous_taxa
ebc218731152df078258b869f0eeff3e	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	737	0	1311	0	180	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2825	0	0	0	0	8	11964	0	11	21314	3870	0	4	2433	66	22	4942	24	6	0	0	0	4	6606	0	14	3659	0	6	2726	0	24	17	6925	16	4	21633	0	47	8	2	0	7622	715	0	0	31	0	0	4	0	0	2337	0	0	8	1722	0	0	308	0	0	588	0	10	0	3	0	0	628	0	0	0	10926	16	0	0	173	0	0	329	0	0	4636	0	0	0	2880	0	0	147	0	0	0	0	0	0	0	2	6	0	0	0	2	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Olsenella;D_6__uncultured bacterium
9db6065dfa5f306778c1a370f3267d73	0	0	0	0	3	0	3	4	0	0	0	0	0	0	0	81	3410	426	4188	1635	571	3469	223	7900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4452	0	0	0	3	0	181	0	0	1978	222	0	6	6374	189	0	2846	0	9	0	0	0	7	711	0	9	1348	0	0	12243	0	0	13	151	16	0	1524	0	0	18109	0	13	7030	178	0	0	3061	0	0	1798	0	0	10107	0	0	0	1361	0	0	368	0	0	77	0	7	0	6789	2	0	532	0	0	0	1796	303	0	37	10780	0	0	73	0	0	778	0	0	0	244	0	0	5443	0	0	0	0	0	0	0	0	0	5	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__Bacteroides plebeius DSM 17135
d46e2205f0c6ecf67b51f83d111c509c	0	7	0	11	0	21	5	13	0	5	0	5	0	6	0	102	404	15758	692	66	15252	0	2347	0	0	0	0	17	0	0	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	3	14	462	0	0	293	8	9	1874	29	0	0	0	0	0	0	0	0	21	8	0	4	0	6	0	73	0	63	17	330	5	0	0	0	9	5	0	0	1196	5334	0	0	18751	0	79	2729	0	0	255	0	0	0	98	0	0	7541	0	0	0	6	0	12	2577	0	0	3180	0	0	0	3965	24687	0	10	412	0	0	791	0	0	0	0	0	0	361	0	0	3332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Escherichia-Shigella
99deb3c5ecb022ec05609ebd1112a557	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	53	515	2543	1488	12232	1339	1231	362	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2129	0	0	0	3	0	453	0	0	673	7009	0	0	898	30	0	2963	6	11	0	5	0	20	1084	0	4	221	0	0	13587	0	0	15	1111	19	9	4201	0	20	2963	0	0	2551	1689	0	8	2310	0	0	4374	0	0	12240	0	0	0	2535	3	0	3390	0	0	4009	9	4	20	151	0	0	4194	0	0	0	381	312	0	0	4966	0	0	359	0	0	1592	0	0	0	1684	0	0	6585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides
6d860023f7cb5928a25af41e9f53ed30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	74	2125	1570	0	751	106	12305	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1045	0	0	0	0	0	2136	0	0	263	10092	0	3	689	0	0	0	2	0	0	0	0	4	67	0	9	552	0	0	657	0	0	0	136	0	0	859	0	6	256	0	0	38	2780	0	0	442	0	0	339	0	5	276	0	0	0	1454	0	0	260	0	0	24092	0	0	0	616	0	0	920	0	0	0	231	9719	0	0	397	0	0	2584	0	0	2928	0	0	0	5205	0	0	14052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonas;Ambiguous_taxa
5a6c87d6a4eb5e114959f6192f29b641	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1982	2542	96	827	17769	8183	967	517	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	0	0	0	0	0	9648	0	15	3838	3028	0	0	305	0	0	2436	0	0	0	0	0	0	2677	0	0	886	0	0	568	0	0	0	2161	0	0	18447	0	54	40	0	0	1435	311	0	0	313	0	0	960	0	0	1966	0	0	0	758	0	0	316	0	0	899	0	0	0	0	0	0	290	0	0	0	7320	389	0	0	250	0	0	126	0	0	1231	0	0	0	2303	0	0	75	0	4	0	0	0	0	0	8	29	0	0	0	3	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium
b0074af6b9640c09199843a3114c6a6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	81	2020	1505	15	709	99	12623	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	2254	0	0	243	9988	0	0	654	28	0	7	0	7	0	0	0	0	61	0	0	501	0	0	667	0	0	13	115	0	4	837	0	0	296	0	0	0	2694	0	0	457	0	0	340	0	0	260	0	0	0	1520	0	0	269	0	4	24118	0	0	6	634	0	0	902	0	0	0	216	9829	0	9	399	0	0	2595	0	0	2631	0	0	0	4307	0	0	12754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonas;Ambiguous_taxa
675c847bccbc53942ebb7b8cbb4efc4d	0	0	0	15	18	7	0	14	21	13	20	39	34	25	11	1282	1980	94	2384	13134	3319	4957	3568	28191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	7	4364	3	0	14937	218	0	0	2130	70	3	627	14	6	0	0	0	0	3136	0	7	810	0	0	142	6	0	0	252	6	0	507	0	8	9	0	15	364	42	0	11	427	0	25	1049	2	12	310	0	0	21	135	0	0	157	0	0	41	31	0	14	11	0	2	47	0	0	0	3299	334	0	0	2066	0	0	72	0	0	336	0	0	0	1407	0	10	57	0	0	0	0	0	4	0	5	0	0	0	6	3	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella 9
03633857f8307d261e79828c0f213201	0	0	2	8	5	5	0	20	0	0	0	0	3	0	0	9908	4308	298	7474	11292	7442	6096	2857	2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	4	0	3375	0	0	5653	1527	0	8	918	33	0	367	22	0	0	0	0	0	4692	0	0	576	0	0	109	0	0	0	855	0	0	14558	0	21	0	0	0	617	89	0	0	57	0	0	23	0	0	256	0	0	0	554	0	0	232	0	4	7	0	6	0	0	0	0	29	0	0	0	6091	10	0	0	197	0	0	123	0	0	2273	0	0	0	355	0	0	195	0	0	0	0	0	0	0	0	3	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Acidaminococcaceae;D_5__Acidaminococcus;Ambiguous_taxa
fa0b06846976a088abb4881fccaa66e9	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	3647	889	1178	1573	283	507	1254	4400	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2562	0	0	0	9	0	1233	0	0	25	497	0	0	0	0	0	316	0	0	0	0	0	0	274	0	0	14	0	10	392	0	0	107	1187	0	4	60	0	0	6365	0	0	563	7440	0	0	19466	0	0	1382	0	0	42	0	0	0	0	0	0	3760	0	0	641	0	0	0	0	5	0	12321	0	0	0	996	5229	0	0	0	0	0	2549	0	0	11254	0	0	0	918	0	4	1614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces;D_6__Actinomyces hyovaginalis
7537041801340e56fcb572edf32b2b54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9568	0	0	0	0	326	2387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	5261	0	0	0	11633	325	0	0	0	0	0	0	0	0	0	0	0	12464	0	0	0	0	0	0	11407	38	0	0	0	0	2543	0	0	10784	0	0	0	5820	0	0	0	0	0	0	0	0	0	1814	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Roseburia
