ASV,Kingdom,Phylum,Class,Order,Family,Genus,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,log2FC,Upregulated_in…
ASV247,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Staphylococcaceae,D_5__Staphylococcus,2325,TRUE,TRUE,TRUE,TRUE,-2.236808111,Health
ASV22,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Bifidobacteriales,D_4__Bifidobacteriaceae,D_5__Bifidobacterium,2188,TRUE,TRUE,TRUE,TRUE,-2.2410081,Health
ASV93,D_0__Bacteria,D_1__Fusobacteria,D_2__Fusobacteriia,D_3__Fusobacteriales,D_4__Fusobacteriaceae,D_5__Fusobacterium,2291,TRUE,TRUE,TRUE,TRUE,-2.2410081,Health
ASV565,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Chloroplast,NA,NA,2306,TRUE,TRUE,TRUE,TRUE,-2.2410081,Health
ASV575,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Microbacteriaceae,D_5__Rhodoluna,2317,TRUE,TRUE,TRUE,TRUE,-2.517848305,Health
ASV691,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae 1,D_5__Candidatus Arthromitus,2306,TRUE,TRUE,TRUE,TRUE,-2.540568381,Health
ASV457,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Blastomonas,2307,TRUE,TRUE,TRUE,TRUE,-2.669851398,Health
ASV561,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,2186,TRUE,TRUE,TRUE,TRUE,-2.686419248,Health
ASV328,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales,D_4__Caulobacteraceae,D_5__uncultured,2315,TRUE,TRUE,TRUE,TRUE,-2.696202725,Health
ASV574,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales,D_4__Streptococcaceae,D_5__Lactococcus,2311,TRUE,TRUE,TRUE,TRUE,-2.73039294,Health
ASV150,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Propionibacteriales,D_4__Propionibacteriaceae,D_5__Cutibacterium,2332,TRUE,TRUE,TRUE,TRUE,-2.872815464,Health
ASV598,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,2325,TRUE,TRUE,TRUE,TRUE,-2.966833136,Health
ASV365,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__Pedobacter,2321,TRUE,TRUE,TRUE,TRUE,-3,Health
ASV642,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,2157,TRUE,TRUE,TRUE,TRUE,-3,Health
ASV469,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Actinomycetales,D_4__Actinomycetaceae,D_5__Actinomyces,2324,TRUE,TRUE,TRUE,TRUE,-3.373458396,Health
ASV325,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,2325,TRUE,TRUE,TRUE,TRUE,-3.649092838,Health
ASV532,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Solibacillus,2155,TRUE,TRUE,TRUE,TRUE,-4.079727192,Health
ASV69,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__Bradyrhizobium,2334,TRUE,TRUE,TRUE,TRUE,-4.579238007,Health
ASV294,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Sphingomonas,2332,TRUE,TRUE,TRUE,TRUE,-4.853451337,Health
ASV163,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Delftia,2336,TRUE,TRUE,TRUE,TRUE,-5.780166911,Health
ASV74,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Sphingobium,2336,TRUE,TRUE,TRUE,TRUE,-5.899332051,Health
ASV154,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,2336,TRUE,TRUE,TRUE,TRUE,-6.768184325,Health
ASV87,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,2336,TRUE,TRUE,TRUE,TRUE,-7.31868992,Health
ASV5,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,2337,TRUE,TRUE,TRUE,TRUE,-9.519984368,Health
